**CloudWatch Logs Insights**    
region: us-west-2    
log-group-names: /aws/lambda/kmullaney-no-outbound-vpc-nodejs18x    
start-time: -10800s    
end-time: 0s    
query-string:
  ```
  filter @logStream = '2024/02/02/[$LATEST]44ddfb3bbd93405182324fe125ccf2fa'
 | fields @timestamp, @message
 | sort @timestamp asc
  ```
---
| @timestamp | @message |
| --- | --- |
| 2024-02-02 19:39:50.404 | INIT_START Runtime Version: nodejs:18.v20 Runtime Version ARN: arn:aws:lambda:us-west-2::runtime:a993d90ea43647b82f490a45d7ddd96b557b916a30128d9dcab5f4972911ec0f |
| 2024-02-02 19:39:50.507 | [NR_EXT] New Relic Lambda Extension starting up |
| 2024-02-02 19:39:50.513 | [NR_EXT] Registration response: {"functionName":"kmullaney-no-outbound-vpc-nodejs18x","functionVersion":"$LATEST","handler":"newrelic-lambda-wrapper.handler"} |
| 2024-02-02 19:39:50.513 | [NR_EXT] No configured license key found, attempting fallbacks |
| 2024-02-02 19:39:50.513 | [NR_EXT] fetching 'NEW_RELIC_LICENSE_KEY' from Secrets Manager |
| 2024-02-02 19:39:50.660 | [NR_EXT] Log registration with request  {"buffering":{"maxBytes":1048576,"maxItems":10000,"timeoutMs":500},"destination":{"URI":"http://sandbox:42243","protocol":"HTTP"},"types":["platform","function"]} |
| 2024-02-02 19:39:50.660 | [NR_EXT] Starting log server. |
| 2024-02-02 19:39:50.661 | LOGS Name: newrelic-lambda-extension State: Subscribed Types: [Platform, Function] |
| 2024-02-02 19:39:50.661 | [NR_EXT] Registered for logs. Got response code  200 "OK" |
| 2024-02-02 19:39:50.662 | [NR_EXT] mainLoop: blocking while awaiting next invocation event... |
| 2024-02-02 19:39:50.723 | [NR_EXT] fetching 'NEW_RELIC_LICENSE_KEY' from SSM Parameter Store |
| 2024-02-02 19:39:51.147 | 2024-02-02T19:39:51.147Z undefined INFO Lambda Handler starting up |
| 2024-02-02 19:39:51.152 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.75.117","pid":17,"time":"2024-02-02T19:39:51.148Z","msg":"Wrapping nodule itself (wrappedHandler).","component":"TransactionShim","module":"aws-lambda"} |
| 2024-02-02 19:39:51.152 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.75.117","pid":17,"time":"2024-02-02T19:39:51.148Z","msg":"Replacing \"_fatalException\" with wrapped version","component":"TransactionShim","module":"aws-lambda"} |
| 2024-02-02 19:39:51.152 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.75.117","pid":17,"time":"2024-02-02T19:39:51.148Z","msg":"Wrapping 1 properties on nodule.","component":"TransactionShim","module":"aws-lambda"} |
| 2024-02-02 19:39:51.152 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.75.117","pid":17,"time":"2024-02-02T19:39:51.148Z","msg":"Replacing \"emit\" with wrapped version","component":"TransactionShim","module":"aws-lambda"} |
| 2024-02-02 19:39:51.152 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.75.117","pid":17,"time":"2024-02-02T19:39:51.148Z","msg":"Wrapping 1 properties on nodule.","component":"TransactionShim","module":"aws-lambda"} |
| 2024-02-02 19:39:51.152 | {"v":0,"level":30,"name":"newrelic","hostname":"169.254.75.117","pid":17,"time":"2024-02-02T19:39:51.130Z","msg":"New Relic for Node.js starting in serverless mode -- skipping connection process."} |
| 2024-02-02 19:39:51.152 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.75.117","pid":17,"time":"2024-02-02T19:39:51.130Z","msg":"Not recording function setInterval, not in a transaction.","component":"Shim","module":"timers"} |
| 2024-02-02 19:39:51.152 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.75.117","pid":17,"time":"2024-02-02T19:39:51.130Z","msg":"Not recording function setInterval, not in a transaction.","component":"Shim","module":"timers"} |
