**CloudWatch Logs Insights**    
region: us-west-2    
log-group-names: /aws/lambda/kmullaney-no-outbound-vpc-nodejs18x    
start-time: -3600s    
end-time: 0s    
query-string:
  ```
  filter @logStream = '2024/02/02/[$LATEST]f743ae2e9ce5480eb03e618867f89b3f'
 | fields @timestamp, @message
 | sort desc
  ```
---
| @timestamp | @message |
| --- | --- |
| 2024-02-02 18:03:32.063 | INIT_START Runtime Version: nodejs:18.v20 Runtime Version ARN: arn:aws:lambda:us-west-2::runtime:a993d90ea43647b82f490a45d7ddd96b557b916a30128d9dcab5f4972911ec0f |
| 2024-02-02 18:03:32.146 | [NR_EXT] New Relic Lambda Extension starting up |
| 2024-02-02 18:03:32.152 | [NR_EXT] Registration response: {"functionName":"kmullaney-no-outbound-vpc-nodejs18x","functionVersion":"$LATEST","handler":"newrelic-lambda-wrapper.handler"} |
| 2024-02-02 18:03:32.152 | [NR_EXT] No configured license key found, attempting fallbacks |
| 2024-02-02 18:03:32.152 | [NR_EXT] fetching 'NEW_RELIC_LICENSE_KEY' from Secrets Manager |
| 2024-02-02 18:03:32.272 | [NR_EXT] Log registration with request  {"buffering":{"maxBytes":1048576,"maxItems":10000,"timeoutMs":500},"destination":{"URI":"http://sandbox:44273","protocol":"HTTP"},"types":["platform","function"]} |
| 2024-02-02 18:03:32.273 | [NR_EXT] Starting log server. |
| 2024-02-02 18:03:32.274 | LOGS Name: newrelic-lambda-extension State: Subscribed Types: [Platform, Function] |
| 2024-02-02 18:03:32.274 | [NR_EXT] Registered for logs. Got response code  200 "OK" |
| 2024-02-02 18:03:32.275 | [NR_EXT] mainLoop: blocking while awaiting next invocation event... |
| 2024-02-02 18:03:32.361 | [NR_EXT] fetching 'NEW_RELIC_LICENSE_KEY' from SSM Parameter Store |
| 2024-02-02 18:03:32.665 | 2024-02-02T18:03:32.665Z undefined INFO Lambda Handler starting up |
| 2024-02-02 18:03:32.667 | {"v":0,"level":30,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.417Z","msg":"The native-metrics module is disabled by default when serverless_mode is enabled.  If desired, enable the native-metrics module via config file or environment variable."} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":30,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.417Z","msg":"NEW_RELIC_NO_CONFIG_FILE set, deferring to environment variables."} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":30,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.422Z","msg":"Using New Relic for Node.js. Agent version: 11.10.2; Node version: v18.19.0."} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.423Z","msg":"Loading agent from /opt/nodejs/node_modules/newrelic"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.423Z","msg":"Process was running 0.12276759 seconds before agent was loaded."} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.424Z","msg":"Current working directory at module load is /var/task."} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.424Z","msg":"Process title is /var/lang/bin/node."} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.424Z","msg":"Application was invoked as /var/lang/bin/node --expose-gc --max-http-header-size 81920 --max-semi-space-size=51 --max-old-space-size=922 /var/runtime/index.mjs"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.597Z","msg":"No new metric mappings from server.","component":"mapper"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.597Z","msg":"Creating standard span event aggregator."} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":30,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.598Z","msg":"Using AsyncLocalContextManager"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.601Z","msg":"Wrapping 1 properties on nodule.","component":"Shim","module":"globals"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.602Z","msg":"Replacing \"_fatalException\" with wrapped version","component":"Shim","module":"globals"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.602Z","msg":"Wrapping 1 properties on nodule.","component":"Shim","module":"globals"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.602Z","msg":"Replacing \"emit\" with wrapped version","component":"Shim","module":"globals"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.602Z","msg":"Wrapping 1 properties on nodule.","component":"Shim","module":"globals"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.602Z","msg":"Replacing \"setUncaughtExceptionCaptureCallback\" with wrapped version","component":"Shim","module":"globals"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.602Z","msg":"New AsyncLocalStorage context enabled. Not enabling manual async_hooks or promise instrumentation","component":"async_hooks"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.603Z","msg":"Wrapping 2 properties on nodule.","component":"Shim","module":"child_process"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.603Z","msg":"Wrapping \"exec\" with metric recording.","component":"Shim","module":"child_process"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.603Z","msg":"Replacing \"exec\" with wrapped version","component":"Shim","module":"child_process"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.603Z","msg":"Wrapping \"execFile\" with metric recording.","component":"Shim","module":"child_process"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.603Z","msg":"Replacing \"execFile\" with wrapped version","component":"Shim","module":"child_process"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.603Z","msg":"Wrapping 1 properties on nodule.","component":"Shim","module":"child_process"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.603Z","msg":"Replacing \"on\" with wrapped version","component":"Shim","module":"child_process"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Wrapping 5 properties on nodule.","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Wrapping \"pbkdf2\" with metric recording.","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Replacing \"pbkdf2\" with wrapped version","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Wrapping \"randomBytes\" with metric recording.","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Replacing \"randomBytes\" with wrapped version","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Wrapping \"pseudoRandomBytes\" with metric recording.","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Replacing \"pseudoRandomBytes\" with wrapped version","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Wrapping \"randomFill\" with metric recording.","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Replacing \"randomFill\" with wrapped version","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Wrapping \"scrypt\" with metric recording.","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.604Z","msg":"Replacing \"scrypt\" with wrapped version","component":"Shim","module":"crypto"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.606Z","msg":"Wrapping 12 properties on nodule.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.606Z","msg":"Wrapping \"lookup\" with metric recording.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.606Z","msg":"Replacing \"lookup\" with wrapped version","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Wrapping \"resolve\" with metric recording.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Replacing \"resolve\" with wrapped version","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Wrapping \"resolve4\" with metric recording.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Replacing \"resolve4\" with wrapped version","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Wrapping \"resolve6\" with metric recording.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Replacing \"resolve6\" with wrapped version","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Wrapping \"resolveCname\" with metric recording.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Replacing \"resolveCname\" with wrapped version","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Wrapping \"resolveMx\" with metric recording.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Replacing \"resolveMx\" with wrapped version","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Wrapping \"resolveNaptr\" with metric recording.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Replacing \"resolveNaptr\" with wrapped version","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Wrapping \"resolveNs\" with metric recording.","component":"Shim","module":"dns"} |
| 2024-02-02 18:03:32.667 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.17.165","pid":16,"time":"2024-02-02T18:03:32.607Z","msg":"Replacing \"resolveNs\" with wrapped version","component":"Shim","module":"dns"} |
